tree_edge_id,parent_tree_node_id,child_tree_node_id,edge_type,sort_order,source_from,is_evidence_fact,evidence_ids,notes
RTE0022,T0003,T0020,DISPLAY_PARENT_OF,7,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0023,T0003,T0021,DISPLAY_PARENT_OF,8,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0024,T0003,T0022,DISPLAY_PARENT_OF,9,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p032_paragraph_005,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0025,T0003,T0023,DISPLAY_PARENT_OF,10,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p031_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0026,T0024,T0025,DISPLAY_PARENT_OF,1,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0027,T0024,T0026,DISPLAY_PARENT_OF,2,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p011_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0028,T0024,T0027,DISPLAY_PARENT_OF,3,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p011_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0029,T0024,T0028,DISPLAY_PARENT_OF,4,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p011_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0030,T0024,T0029,DISPLAY_PARENT_OF,5,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p011_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0031,T0030,T0031,DISPLAY_PARENT_OF,1,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p029_paragraph_004;新型显示白皮书_7f4f945d7c21_p030_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0032,T0030,T0032,DISPLAY_PARENT_OF,2,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0033,T0030,T0033,DISPLAY_PARENT_OF,3,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0034,T0030,T0034,DISPLAY_PARENT_OF,4,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p016_paragraph_002,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0035,T0035,T0036,DISPLAY_PARENT_OF,1,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
RTE0036,T0035,T0037,DISPLAY_PARENT_OF,2,document_driven_rules,false,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,已批准实体按类型和证据语境进行展示归类，非PDF父子关系事实
