tree_node_id,label,display_label,parent_id,level,depth,sort_order,category,node_type,source_from,source_entity_ids,evidence_ids,is_display_node,is_schema_node,notes
T0032,4K/8K电视,4K/8K电视,T0030,2,2,2,product,approved_entity,approved_entity,CE0027,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,true,false,evidence_supported_display_placement; family=product_application; 非事实父子挂载
T0033,AR/VR,AR/VR,T0030,2,2,3,application,approved_entity,approved_entity,CE0028,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,true,false,evidence_supported_display_placement; family=product_application; 非事实父子挂载
T0034,显示器件,显示器件,T0030,2,2,4,product,approved_entity,approved_entity,CE0007,新型显示白皮书_7f4f945d7c21_p016_paragraph_002,true,false,evidence_supported_display_placement; family=product_application; 非事实父子挂载
T0036,全面屏手机,全面屏手机,T0035,2,2,1,product,approved_entity,approved_entity,CE0026,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,true,false,evidence_supported_display_placement; family=equipment; 非事实父子挂载
T0037,可穿戴设备,可穿戴设备,T0035,2,2,2,application,approved_entity,approved_entity,CE0029,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,true,false,evidence_supported_display_placement; family=equipment; 非事实父子挂载
T0014,显示材料,显示材料,T0003,3,3,1,material,approved_entity,approved_entity,CE0004,新型显示白皮书_7f4f945d7c21_p030_paragraph_003;新型显示白皮书_7f4f945d7c21_p030_paragraph_005;新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p033_paragraph_003,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0015,掩模版,掩模版,T0003,3,3,2,material,approved_entity,approved_entity,CE0014,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004;新型显示白皮书_7f4f945d7c21_p032_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0016,OLED材料,OLED材料,T0003,3,3,3,material,approved_entity,approved_entity,CE0012,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0017,显示芯片,显示芯片,T0003,3,3,4,material,approved_entity,approved_entity,CE0013,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0018,液晶材料,液晶材料,T0003,3,3,5,material,approved_entity,approved_entity,CE0016,新型显示白皮书_7f4f945d7c21_p032_paragraph_004;新型显示白皮书_7f4f945d7c21_p032_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0019,靶材,靶材,T0003,3,3,6,material,approved_entity,approved_entity,CE0015,新型显示白皮书_7f4f945d7c21_p031_paragraph_003;新型显示白皮书_7f4f945d7c21_p032_paragraph_004,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0020,光刻胶,光刻胶,T0003,3,3,7,material,approved_entity,approved_entity,CE0024,新型显示白皮书_7f4f945d7c21_p031_paragraph_003,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0021,彩色滤光片,彩色滤光片,T0003,3,3,8,material,approved_entity,approved_entity,CE0022,新型显示白皮书_7f4f945d7c21_p031_paragraph_003,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0022,有机发光材料,有机发光材料,T0003,3,3,9,product,approved_entity,approved_entity,CE0025,新型显示白皮书_7f4f945d7c21_p032_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0023,湿电子化学品,湿电子化学品,T0003,3,3,10,material,approved_entity,approved_entity,CE0023,新型显示白皮书_7f4f945d7c21_p031_paragraph_003,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
