tree_node_id,label,display_label,parent_id,level,depth,sort_order,category,node_type,source_from,source_entity_ids,evidence_ids,is_display_node,is_schema_node,notes
T0024,基材,基材,T0021,2,2,3,material,approved_entity,approved_entity,CE0019,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0025,封装材料,封装材料,T0021,2,2,4,material,approved_entity,approved_entity,CE0018,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0026,气体,气体,T0021,2,2,5,material,approved_entity,approved_entity,CE0017,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0027,硅片,硅片,T0021,2,2,6,material,approved_entity,approved_entity,CE0014,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0028,金属,金属,T0021,2,2,7,material,approved_entity,approved_entity,CE0015,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,true,false,evidence_supported_display_placement; family=material; 非事实父子挂载
T0030,代工,代工,T0029,2,2,1,process,approved_entity,approved_entity,CE0002,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,true,false,evidence_supported_display_placement; family=operations; 非事实父子挂载
T0032,OSAT,OSAT,T0029,2,2,2,industry_link,approved_entity,approved_entity,CE0025,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,true,false,evidence_supported_display_placement; family=operations; 非事实父子挂载
T0033,半导体价值链,半导体价值链,T0029,2,2,3,industry_link,approved_entity,approved_entity,CE0010,中国半导体白皮书_1b73a8b1f91b_p010_heading_001,true,false,evidence_supported_display_placement; family=operations; 非事实父子挂载
T0034,半导体设计制造,半导体设计制造,T0029,2,2,4,industry_link,approved_entity,approved_entity,CE0023,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,true,false,evidence_supported_display_placement; family=operations; 非事实父子挂载
T0035,封装测试,封装测试,T0029,2,2,5,process,approved_entity,approved_entity,CE0033,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,true,false,evidence_supported_display_placement; family=operations; 非事实父子挂载
T0037,2.5D/3D先进封装,2.5D/3D先进封装,T0036,2,2,1,technology,approved_entity,approved_entity,CE0009,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,true,false,evidence_supported_display_placement; family=technology; 非事实父子挂载
T0039,EDA软件,EDA软件,T0036,2,2,2,technology,approved_entity,approved_entity,CE0013,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,true,false,evidence_supported_display_placement; family=technology; 非事实父子挂载
T0040,先进封装技术,先进封装技术,T0036,2,2,3,technology,approved_entity,approved_entity,CE0008,中国半导体白皮书_1b73a8b1f91b_p023_paragraph_002,true,false,evidence_supported_display_placement; family=technology; 非事实父子挂载
T0042,光刻机,光刻机,T0041,2,2,1,equipment,approved_entity,approved_entity,CE0020,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004,true,false,evidence_supported_display_placement; family=equipment; 非事实父子挂载
T0043,晶圆缺陷监测系统,晶圆缺陷监测系统,T0041,2,2,2,equipment,approved_entity,approved_entity,CE0021,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_004,true,false,evidence_supported_display_placement; family=equipment; 非事实父子挂载
T0044,沉积设备,沉积设备,T0041,2,2,3,equipment,approved_entity,approved_entity,CE0044,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_013,true,false,evidence_supported_display_placement; family=equipment; 非事实父子挂载
T0019,芯片,芯片,T0011,3,3,1,product,approved_entity,approved_entity,CE0026,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,true,false,evidence_supported_display_placement; family=product_application; 非事实父子挂载
T0031,设计,设计,T0034,3,3,1,process,approved_entity,approved_entity,CE0001,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_009,true,false,evidence_supported_display_placement; family=operations; 非事实父子挂载
T0038,EDA,EDA,T0039,3,3,1,technology,approved_entity,approved_entity,CE0005,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_006,true,false,evidence_supported_display_placement; family=technology; 非事实父子挂载
