recheck_id,source_candidate_id,candidate_type,original_reject_reason,surface_form_or_relation,evidence_id,page_no,quote,possible_recovery_reason,recommended_action,review_required
RC0011,t05_r04,relation,subject_or_object_not_found,t05_r04,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0012,t05_r05,relation,subject_or_object_not_found,t05_r05,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0013,t05_r06,relation,subject_or_object_not_found,t05_r06,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0014,t05_r07,relation,subject_or_object_not_found,t05_r07,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0015,t05_r08,relation,subject_or_object_not_found,t05_r08,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0016,t07_e06,entity,subject_or_object_not_found,t07_e06,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0017,t07_e09,entity,quote_not_found,t07_e09,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_009,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0018,t07_r01,relation,subject_or_object_not_found,t07_r01,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0019,t07_r02,relation,subject_or_object_not_found,t07_r02,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0020,t07_r03,relation,subject_or_object_not_found,t07_r03,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0021,t07_r04,relation,subject_or_object_not_found,t07_r04,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_003,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0022,t07_r05,relation,subject_or_object_not_found,t07_r05,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_012,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0023,t07_r06,relation,subject_or_object_not_found,t07_r06,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0024,t07_r07,relation,subject_or_object_not_found,t07_r07,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0025,t07_r08,relation,subject_or_object_not_found,t07_r08,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_004,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0026,t09_e11,entity,quote_not_found,t09_e11,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0027,t09_e16,entity,quote_not_found,t09_e16,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0028,t09_e17,entity,quote_not_found,t09_e17,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0029,t09_e18,entity,quote_not_found,t09_e18,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0030,t09_e19,entity,quote_not_found,t09_e19,中国半导体白皮书_1b73a8b1f91b_p010_paragraph_005,10,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0031,t09_e20,entity,quote_not_found,t09_e20,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0032,t09_e21,entity,quote_not_found,t09_e21,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0033,t09_e23,entity,quote_not_found,t09_e23,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0034,t09_e24,entity,quote_not_found,t09_e24,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0035,t09_e25,entity,quote_not_found,t09_e25,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0036,t09_e26,entity,quote_not_found,t09_e26,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0037,t09_e27,entity,quote_not_found,t09_e27,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
RC0038,t09_e28,entity,quote_not_found,t09_e28,中国半导体白皮书_1b73a8b1f91b_p022_paragraph_007,22,,可能由OCR差异或模型摘录导致quote/主宾语定位失败,人工核对原文,True
