review_id,review_type,priority,subject,relation_type,object,entity_or_relation_id,evidence_pages,evidence_quotes,issue_summary,recommended_decision,human_decision,human_comment
RV0059,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r01,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0060,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r02,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0061,stage3c_carryover,P3,,subject_or_object_not_found,,t05_r06,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0062,stage3c_carryover,P3,,relation_type_invalid,,t05_r07,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0063,stage3c_carryover,P3,,relation_type_invalid,,t05_r08,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0064,stage3c_carryover,P1,,non_atomic_relation_endpoint,,t07_r01,10,,关系候选待复核: 设备、原材料、EDA软件->USED_IN->集成电路（IC）,人工核对原文与结论,,
RV0065,stage3c_carryover,P1,,non_atomic_relation_endpoint,,t07_r02,10,,关系候选待复核: 设备、原材料、EDA软件->USED_IN->光电子器件,人工核对原文与结论,,
RV0066,stage3c_carryover,P1,,non_atomic_relation_endpoint,,t07_r03,10,,关系候选待复核: 设备、原材料、EDA软件->USED_IN->分立器件,人工核对原文与结论,,
RV0067,stage3c_carryover,P1,,non_atomic_relation_endpoint,,t07_r04,10,,关系候选待复核: 设备、原材料、EDA软件->USED_IN->传感器,人工核对原文与结论,,
RV0068,stage3c_carryover,P3,,relation_type_invalid,,t07_r05,10,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0069,stage3c_carryover,P3,,relation_type_invalid,,t07_r06,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0070,stage3c_carryover,P3,,relation_type_invalid,,t07_r07,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0071,stage3c_carryover,P3,,relation_type_invalid,,t07_r08,22,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0072,stage3c_carryover,P1,,relation_cue_missing,,t09_r01,10,,关系候选待复核: 设备->INPUT_TO->半导体设计制造,人工核对原文与结论,,
RV0073,stage3c_carryover,P1,,relation_cue_missing,,t09_r02,10,,关系候选待复核: 原材料->INPUT_TO->半导体设计制造,人工核对原文与结论,,
RV0074,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t09_r03,10,,关系候选待复核: EDA软件->INPUT_TO->半导体设计制造,人工核对原文与结论,,
RV0075,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t09_r04,10,,关系候选待复核: 硅片->INPUT_TO->前端材料,人工核对原文与结论,,
RV0076,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t09_r05,10,,关系候选待复核: 金属->INPUT_TO->前端材料,人工核对原文与结论,,
RV0077,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t09_r06,10,,关系候选待复核: 化学品->INPUT_TO->前端材料,人工核对原文与结论,,
RV0078,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t09_r07,10,,关系候选待复核: 气体->INPUT_TO->前端材料,人工核对原文与结论,,
RV0079,stage3c_carryover,P1,,relation_endpoint_type_mismatch,,t09_r12,22,,关系候选待复核: 计算芯片->OUTPUT_OF->投资热点,人工核对原文与结论,,
RV0080,stage3c_carryover,P3,,quote_not_found,,t09_e13,22,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0081,stage3c_carryover,P3,,quote_not_found,,t09_e14,22,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0082,stage3c_carryover,P3,,quote_not_found,,t09_e15,22,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0083,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r08,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0084,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r09,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0085,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r10,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0086,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r11,10,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0087,stage3c_carryover,P3,,quote_not_found,,t09_r13,22,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0088,stage3c_carryover,P3,,entity_type_invalid,,t09_r14,22,,候选被拒绝，需人工确认,重新判定实体类型,,
RV0089,stage3c_carryover,P3,,quote_not_found,,t09_r15,22,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
