item_id,item_type,page_no,reason,severity,recommended_action,related_output_path
review_text_quality_p001,text,1,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_text_quality_p002,text,2,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_text_quality_p003,text,3,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_text_quality_p004,text,4,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p007,text,7,检测到 15 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p007,layout,7,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p008,text,8,检测到 7 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p008,layout,8,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p009,text,9,检测到 36 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p011,text,11,检测到 13 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p011,layout,11,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p012,text,12,检测到 53 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p012,layout,12,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p013,text,13,检测到 6 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p013,layout,13,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p014,text,14,检测到 28 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p015,text,15,检测到 8 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p015,layout,15,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p017,text,17,检测到 22 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p017,layout,17,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p018,layout,18,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p019,text,19,检测到 35 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p019,layout,19,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p020,text,20,检测到 12 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p020,layout,20,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_garbled_blocks_p021,text,21,检测到 27 个疑似PDF字体映射乱码文本块,medium,use_rendered_page_or_manual_review_for_garbled_text,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p021,layout,21,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_text_quality_p025,text,25,第一阶段文本质量标记为 low,medium,manual_text_order_and_quality_check,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
review_layout_p025,layout,25,图表/表格/混排页面，阅读顺序或结构需抽样核验,medium,manual_layout_review,outputs\stage2_evidence_build\中国半导体白皮书_1b73a8b1f91b_20260713_171812\stage2_sample_evidence_review.md
