review_id,review_type,priority,subject,relation_type,object,entity_or_relation_id,evidence_pages,evidence_quotes,issue_summary,recommended_decision,human_decision,human_comment
RV0027,stage3c_carryover,P3,,quote_not_found,,t04_e10,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0028,stage3c_carryover,P3,,quote_not_found,,t04_e11,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0029,stage3c_carryover,P3,,quote_not_found,,t04_e13,31,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0030,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r02,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0031,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r03,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0032,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r04,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0033,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r05,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0034,stage3c_carryover,P3,,subject_or_object_not_found,,t04_r06,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0035,stage3c_carryover,P3,,quote_not_found,,t04_r07,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0036,stage3c_carryover,P3,,quote_not_found,,t04_r08,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0037,stage3c_carryover,P3,,quote_not_found,,t04_r09,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0038,stage3c_carryover,P3,,quote_not_found,,t04_r10,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0039,stage3c_carryover,P3,,quote_not_found,,t04_r11,30,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0040,stage3c_carryover,P1,,relation_cue_missing,,t05_r01,32,,关系候选待复核: 玻璃基板->OUTPUT_OF->高世代玻璃基板,人工核对原文与结论,,
RV0041,stage3c_carryover,P1,,relation_cue_missing,,t05_r03,32,,关系候选待复核: 液晶材料->OUTPUT_OF->产品种类,人工核对原文与结论,,
RV0042,stage3c_carryover,P1,,relation_cue_missing,,t05_r04,32,,关系候选待复核: 有机发光材料->OUTPUT_OF->产品种类,人工核对原文与结论,,
RV0043,stage3c_carryover,P1,,relation_cue_missing,,t05_r05,32,,关系候选待复核: 掩模版->OUTPUT_OF->产品种类,人工核对原文与结论,,
RV0044,stage3c_carryover,P3,,quote_not_found,,t05_e02,3,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0045,stage3c_carryover,P3,,quote_not_found,,t05_r02,3,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0046,stage3c_carryover,P3,,subject_or_object_not_found,,t07_e07,35,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0047,stage3c_carryover,P3,,evidence_id_not_in_context,,t07_e08,10,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0048,stage3c_carryover,P3,,evidence_id_not_in_context,,t07_e09,10,,候选被拒绝，需人工确认,人工核对原文与结论,,
RV0049,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r01,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0050,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r02,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0051,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r03,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0052,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r04,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0053,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r05,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0054,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r06,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0055,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r07,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0056,stage3c_carryover,P3,,subject_or_object_not_found,,t07_r08,30,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0057,stage3c_carryover,P3,,quote_not_found,,t09_e08,29,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0058,stage3c_carryover,P3,,quote_not_found,,t09_e09,18,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0059,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r01,29,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0060,stage3c_carryover,P3,,quote_not_found,,t09_r02,29,,候选被拒绝，需人工确认,人工核对 quote 与原文,,
RV0061,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r03,29,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0062,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r04,,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0063,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r05,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0064,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r06,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0065,stage3c_carryover,P3,,subject_or_object_not_found,,t09_r07,32,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0066,stage3c_carryover,P3,,relation_type_invalid,,t09_r08,18,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0067,stage3c_carryover,P3,,relation_type_invalid,,t09_r09,18,,候选被拒绝，需人工确认,重新判定关系类型,,
RV0068,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r01,3,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0069,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r02,11,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0070,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r03,33,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
RV0071,stage3c_carryover,P3,,subject_or_object_not_found,,t10_r04,16,,候选被拒绝，需人工确认,人工确认主宾语是否在原文,,
