review_item_id,source_stage,item_type,priority,reason,related_id,evidence_id,page_no,recommended_action
S4RQ0054,3C,relation,P3,候选被拒绝，需人工确认,t07_r06,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,人工确认主宾语是否在原文
S4RQ0055,3C,relation,P3,候选被拒绝，需人工确认,t07_r07,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,人工确认主宾语是否在原文
S4RQ0056,3C,relation,P3,候选被拒绝，需人工确认,t07_r08,新型显示白皮书_7f4f945d7c21_p030_paragraph_003,30,人工确认主宾语是否在原文
S4RQ0057,3C,entity,P3,候选被拒绝，需人工确认,t09_e08,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,人工核对 quote 与原文
S4RQ0058,3C,entity,P3,候选被拒绝，需人工确认,t09_e09,新型显示白皮书_7f4f945d7c21_p018_paragraph_003,18,人工核对 quote 与原文
S4RQ0059,3C,relation,P3,候选被拒绝，需人工确认,t09_r01,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,人工确认主宾语是否在原文
S4RQ0060,3C,relation,P3,候选被拒绝，需人工确认,t09_r02,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,人工核对 quote 与原文
S4RQ0061,3C,relation,P3,候选被拒绝，需人工确认,t09_r03,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,29,人工确认主宾语是否在原文
S4RQ0062,3C,relation,P3,候选被拒绝，需人工确认,t09_r04,新型显示白皮书_7f4f945d7c21_p029_paragraph_004,,人工确认主宾语是否在原文
S4RQ0063,3C,relation,P3,候选被拒绝，需人工确认,t09_r05,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工确认主宾语是否在原文
S4RQ0064,3C,relation,P3,候选被拒绝，需人工确认,t09_r06,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工确认主宾语是否在原文
S4RQ0065,3C,relation,P3,候选被拒绝，需人工确认,t09_r07,新型显示白皮书_7f4f945d7c21_p032_paragraph_004,32,人工确认主宾语是否在原文
S4RQ0066,3C,relation,P3,候选被拒绝，需人工确认,t09_r08,新型显示白皮书_7f4f945d7c21_p018_paragraph_003,18,重新判定关系类型
S4RQ0067,3C,relation,P3,候选被拒绝，需人工确认,t09_r09,新型显示白皮书_7f4f945d7c21_p018_paragraph_003,18,重新判定关系类型
S4RQ0068,3C,relation,P3,候选被拒绝，需人工确认,t10_r01,新型显示白皮书_7f4f945d7c21_p003_paragraph_001,3,人工确认主宾语是否在原文
S4RQ0069,3C,relation,P3,候选被拒绝，需人工确认,t10_r02,新型显示白皮书_7f4f945d7c21_p011_paragraph_003,11,人工确认主宾语是否在原文
S4RQ0070,3C,relation,P3,候选被拒绝，需人工确认,t10_r03,新型显示白皮书_7f4f945d7c21_p033_heading_001,33,人工确认主宾语是否在原文
S4RQ0071,3C,relation,P3,候选被拒绝，需人工确认,t10_r04,新型显示白皮书_7f4f945d7c21_p016_heading_001,16,人工确认主宾语是否在原文
